n,time[ms]
1,0
11,1
21,5
31,14.25
41,32
51,59
61,102.75
71,156.75
81,253.25
91,384.5
101,467.25
111,625.25
121,819.75
131,1055.25
141,1254.25
151,1531.75
161,1853.75
171,2170
181,2619.75
191,3122.5
201,3513
211,4090.5
221,4783.75
231,5387.25
241,6091
251,6750
261,10774.2
271,13198.5
281,16066
291,18554
301,21085.5
311,22960
321,25235.8
331,27494.8
341,30340.5
351,32646.5
361,36178.8
371,38648
381,41924
391,46007.8
401,48086
411,53082.8
421,55482
431,61296.8
441,62987.5
451,67102
461,72331.8
471,77631
481,81752.2
491,88532.8
501,96304
511,101848
521,107762
531,114796
541,119327
551,126514
561,133010
571,140112
581,148450
591,157733
601,166264
611,174701
621,180666
631,191570
641,200143
651,219127
661,216610
671,228678
681,237505
691,247298
701,270066
711,271613
721,290117
731,293490
741,304856
751,320064
761,340390
771,382971
781,379603
791,389282
801,414110
811,423333
821,436911
831,454622
841,476842
851,488222
861,506571
871,523028
881,552818
891,561890
901,722925
911,743000
921,968500
931,832608
941,827298
951,845702
961,888778
971,909263
981,969700
991,967896
