n,time[ms]
1,0.5
11,743.5
21,5370.5
31,5094.5
41,22169.5
51,16432
61,15349.5
71,96899
81,92558.5
91,94954
101,102234
111,97735.5
121,99167.5
131,662194
141,667205
151,646450
161,666864
171,609530
181,609696
191,619268
201,673392
211,647668
221,662318
231,645494
241,659275
251,650261
261,4.59232e+06
271,4.62084e+06
281,4.62851e+06
291,4.43584e+06
301,4.5481e+06
311,4.46825e+06
321,4.20076e+06
331,4.28167e+06
341,4.21951e+06
351,4.49416e+06
361,4.26632e+06
371,4.31921e+06
381,4.35591e+06
391,4.67897e+06
