n,time[ms]
1,0.25
11,2.25
21,5.75
31,12.25
41,15
51,23.25
61,37
71,55.75
81,65.75
91,93.75
101,125.75
111,166.5
121,187.75
131,239.25
141,297
151,366.25
161,390.5
171,477.25
181,638
191,811.75
201,824.5
211,954.25
221,1071.75
231,1178.75
241,1264.5
251,1403.5
261,1904.5
271,2082.25
281,2191
291,2479.75
301,2687.5
311,3011.75
321,3300
331,3583.25
341,3813
351,4234.5
361,4017.5
371,4357.5
381,4695.25
391,6116.25
401,6164.75
411,6798.75
421,7448.5
431,7996.75
441,8212.5
451,8712.75
461,9462.75
471,10362.2
481,9279.5
491,9925
501,10801.8
511,11064.2
521,13198.8
531,13985.5
541,14785
551,15654.5
561,16564.5
571,16910.5
581,16790
591,17328
601,18371.2
611,18959
621,19802.5
631,21183.8
641,23760
651,24967.5
661,26266
671,27546.5
681,28083
691,29471.8
701,31346
711,30538
721,31303.8
731,32519
741,34337.2
751,35689.5
761,36374
771,40574.2
781,42106.2
791,43690.8
801,44703.5
811,47002.5
821,48265
831,50299
841,49955.5
851,52452
861,54596
871,56790.8
881,57549
891,60209.2
901,65323.8
911,69568.2
921,70951.2
931,69581.8
941,73843.2
951,76672
961,75601.2
971,78976.2
981,82193.5
991,85236
